,Prscrbr_NPI,Prscrbr_Last_Org_Name,Prscrbr_First_Name,Prscrbr_City,Prscrbr_State_Abrvtn,Prscrbr_State_FIPS,Prscrbr_Type,Prscrbr_Type_Src,Brnd_Name,Gnrc_Name,Tot_Clms,Tot_30day_Fills,Tot_Day_Suply,Tot_Drug_Cst,Tot_Benes,GE65_Sprsn_Flag,GE65_Tot_Clms,GE65_Tot_30day_Fills,GE65_Tot_Drug_Cst,GE65_Tot_Day_Suply,GE65_Bene_Sprsn_Flag,GE65_Tot_Benes,Year
0,1003967811,Oberhelman,Kelly,Ann Arbor,MI,26,Physician Assistant,S,Vosevi,Sofosbuvir/Velpatas/Voxilaprev,11,11.0,308,275732.33,,,11.0,11.0,275732.33,308.0,*,,2018
1,1013133412,Venkat,Deepak,Cleveland,OH,39,Gastroenterology,S,Vosevi,Sofosbuvir/Velpatas/Voxilaprev,14,14.0,392,336736.84,,*,,,,,*,,2018
2,1043479587,Patwardhan,Vilas,Boston,MA,25,Gastroenterology,S,Vosevi,Sofosbuvir/Velpatas/Voxilaprev,14,14.0,392,356749.6,,*,,,,,*,,2018
3,1053487611,Thomas,Marice,Eureka,CA,6,Nurse Practitioner,S,Vosevi,Sofosbuvir/Velpatas/Voxilaprev,13,13.0,364,321816.16,,*,,,,,*,,2018
4,1083131783,Rasmussen,Melissa,Meridian,ID,16,Nurse Practitioner,S,Vosevi,Sofosbuvir/Velpatas/Voxilaprev,11,11.0,308,271982.83,,*,,,,,*,,2018
5,1083630115,Green,Terry,Oklahoma City,OK,40,Nurse Practitioner,S,Vosevi,Sofosbuvir/Velpatas/Voxilaprev,11,11.0,308,284977.78,,*,,,,,*,,2018
6,1083822803,Engelsman,Elaine,Muskegon,MI,26,Nurse Practitioner,S,Vosevi,Sofosbuvir/Velpatas/Voxilaprev,15,15.0,420,371551.61,,#,,,,,*,,2018
7,1124404173,Colclough,Sheena,Little Rock,AR,5,Nurse Practitioner,S,Vosevi,Sofosbuvir/Velpatas/Voxilaprev,12,12.0,336,297630.96,,*,,,,,*,,2018
8,1134389646,Powell,Jesse,Minneapolis,MN,27,Physician Assistant,S,Vosevi,Sofosbuvir/Velpatas/Voxilaprev,13,13.0,364,331835.85,,*,,,,,*,,2018
9,1144450792,Henderson,Phillip,Mobile,AL,1,Gastroenterology,S,Vosevi,Sofosbuvir/Velpatas/Voxilaprev,12,12.0,336,310036.92,,*,,,,,*,,2018
10,1154364065,Williams,Sally,Vancouver,WA,53,Infectious Disease,S,Vosevi,Sofosbuvir/Velpatas/Voxilaprev,11,11.0,308,287958.02,,,11.0,11.0,287958.02,308.0,*,,2018
11,1154781128,Bergmans,Carrie,Ann Arbor,MI,26,Physician Assistant,S,Vosevi,Sofosbuvir/Velpatas/Voxilaprev,11,11.0,308,274913.63,,*,,,,,*,,2018
12,1184779415,Feyssa,Eyob,Philadelphia,PA,42,Internal Medicine,S,Vosevi,Sofosbuvir/Velpatas/Voxilaprev,28,28.0,784,704996.93,,#,,,,,*,,2018
13,1194972083,Rathbun,Robert,San Diego,CA,6,Pharmacist,T,Vosevi,Sofosbuvir/Velpatas/Voxilaprev,31,31.0,868,654256.55,13.0,#,,,,,#,,2018
14,1225056070,Dieterich,Douglas,New York,NY,36,Internal Medicine,S,Vosevi,Sofosbuvir/Velpatas/Voxilaprev,12,12.0,336,307582.86,,*,,,,,*,,2018
15,1225117096,Long,Wen,Loma Linda,CA,6,Physician Assistant,S,Vosevi,Sofosbuvir/Velpatas/Voxilaprev,12,12.0,336,287712.39,,*,,,,,*,,2018
16,1225136922,Shenoy,Rana,Lancaster,CA,6,Internal Medicine,S,Vosevi,Sofosbuvir/Velpatas/Voxilaprev,11,11.0,154,116171.22,,,11.0,11.0,116171.22,154.0,*,,2018
17,1225142730,Cotler,Scott,Maywood,IL,17,Gastroenterology,S,Vosevi,Sofosbuvir/Velpatas/Voxilaprev,15,15.0,420,392567.24,,,15.0,15.0,392567.24,420.0,*,,2018
